index,cols,vals,Metric,method
0.6,distance_pca,0.09578525279340971,distance_pca,scopen_cicero
0.6,distance_tsne,0.2001945823431015,distance_tsne,scopen_cicero
0.6,distance_umap,0.1833866387605667,distance_umap,scopen_cicero
0.6,hc_ari,0.4637229203531017,hc_ari,scopen_cicero
0.6,hc_ami,0.693736566615674,hc_ami,scopen_cicero
0.6,hc_homogeneity,0.7270549189106971,hc_homogeneity,scopen_cicero
0.6,kmeans_ari,0.39359104435386777,kmeans_ari,scopen_cicero
0.6,kmeans_ami,0.626626552350976,kmeans_ami,scopen_cicero
0.6,kmeans_homogeneity,0.6619432701428373,kmeans_homogeneity,scopen_cicero
0.6,louvain_ari,0.4921548574608821,louvain_ari,scopen_cicero
0.6,louvain_ami,0.7103945571492968,louvain_ami,scopen_cicero
0.6,louvain_homogeneity,0.7387909991607318,louvain_homogeneity,scopen_cicero
