index,cols,vals,Metric,method
0.5,distance_pca,0.09010800391874818,distance_pca,scopen_boruta
0.5,distance_tsne,0.15061698853969574,distance_tsne,scopen_boruta
0.5,distance_umap,0.13759076595306396,distance_umap,scopen_boruta
0.5,hc_ari,0.31189535436011917,hc_ari,scopen_boruta
0.5,hc_ami,0.5833252761232383,hc_ami,scopen_boruta
0.5,hc_homogeneity,0.6027240848979674,hc_homogeneity,scopen_boruta
0.5,kmeans_ari,0.33355594802333915,kmeans_ari,scopen_boruta
0.5,kmeans_ami,0.5914824472559129,kmeans_ami,scopen_boruta
0.5,kmeans_homogeneity,0.6231136206073118,kmeans_homogeneity,scopen_boruta
0.5,louvain_ari,0.4100327047901952,louvain_ari,scopen_boruta
0.5,louvain_ami,0.659731205977351,louvain_ami,scopen_boruta
0.5,louvain_homogeneity,0.6877065353147096,louvain_homogeneity,scopen_boruta
