index,cols,vals,Metric,method
0.5,distance_pca,0.13486379584977115,distance_pca,scopen_cicero
0.5,distance_tsne,0.1841890811920166,distance_tsne,scopen_cicero
0.5,distance_umap,0.21555933356285095,distance_umap,scopen_cicero
0.5,hc_ari,0.4684566348820232,hc_ari,scopen_cicero
0.5,hc_ami,0.6650987814951089,hc_ami,scopen_cicero
0.5,hc_homogeneity,0.6844348574557492,hc_homogeneity,scopen_cicero
0.5,kmeans_ari,0.5198991476154058,kmeans_ari,scopen_cicero
0.5,kmeans_ami,0.6931381734674111,kmeans_ami,scopen_cicero
0.5,kmeans_homogeneity,0.7230773025110393,kmeans_homogeneity,scopen_cicero
0.5,louvain_ari,0.5724980948212116,louvain_ari,scopen_cicero
0.5,louvain_ami,0.7177623751999014,louvain_ami,scopen_cicero
0.5,louvain_homogeneity,0.7446502177351625,louvain_homogeneity,scopen_cicero
